stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,location_type,parent_station,wheelchair_boarding
54009,54009,Bourbonnière / Rachel,45.552251,-73.556253,http://m.stm.info/fr/horaires/arrets/54009/bus,0,,1
54010,54010,Parc du Mont-Royal,45.515987,-73.589599,http://m.stm.info/fr/horaires/arrets/54010/bus,0,,1
54011,54011,Notre-Dame / Beausoleil (est),45.687653,-73.489905,http://m.stm.info/fr/horaires/arrets/54011/bus,0,,1
54012,54012,Monk / De La Vérendrye,45.447014,-73.591616,http://m.stm.info/fr/horaires/arrets/54012/bus,0,,1
54013,54013,Saint-Denis / De La Gauchetière,45.512144,-73.557139,http://m.stm.info/fr/horaires/arrets/54013/bus,0,,1
54014,54014,Station Beaubien,45.535092,-73.604959,http://m.stm.info/fr/horaires/arrets/54014/bus,0,,1
54015,54015,de Monkland / Coronation,45.459787,-73.636918,http://m.stm.info/fr/horaires/arrets/54015/bus,0,,1
54016,54016,École Lucien-Pagé (Jarry / Centre Ste-Croix),45.537404,-73.632344,http://m.stm.info/fr/horaires/arrets/54016/bus,0,,1
54017,54017,Turenne / De Cadillac,45.578423,-73.551842,http://m.stm.info/fr/horaires/arrets/54017/bus,0,,1
54018,54018,Station Charlevoix,45.478069,-73.569458,http://m.stm.info/fr/horaires/arrets/54018/bus,0,,1
54019,54019,Hôpital Notre-Dame (Sherbrooke / De Champlain),45.526576,-73.564249,http://m.stm.info/fr/horaires/arrets/54019/bus,0,,1
54020,54020,Gouin / Wood,45.511663,-73.751589,http://m.stm.info/fr/horaires/arrets/54020/bus,0,,2
54035,54035,Elmhurst / Saint-Jacques,45.453660,-73.637773,http://m.stm.info/fr/horaires/arrets/54035/bus,0,,1
54037,54037,Station Sauvé (Édicule Sud),45.551003,-73.656849,http://m.stm.info/fr/horaires/arrets/54037/bus,0,,1
54038,54038,Station Frontenac (Frontenac / Ontario),45.532958,-73.552399,http://m.stm.info/fr/horaires/arrets/54038/bus,0,,1
54039,54039,Station Frontenac (Frontenac / Ontario),45.532730,-73.551866,http://m.stm.info/fr/horaires/arrets/54039/bus,0,,1
54040,54040,Station Frontenac (du Havre / Ontario),45.533275,-73.551792,http://m.stm.info/fr/horaires/arrets/54040/bus,0,,1
54041,54041,René-Lévesque / Berri,45.513383,-73.557400,http://m.stm.info/fr/horaires/arrets/54041/bus,0,,1
54042,54042,Amherst / Sainte-Catherine,45.517456,-73.556896,http://m.stm.info/fr/horaires/arrets/54042/bus,0,,1
54043,54043,Sainte-Catherine / Dorion,45.523537,-73.551420,http://m.stm.info/fr/horaires/arrets/54043/bus,0,,1
54044,54044,Saint-Rémi / Pullman,45.473347,-73.596878,http://m.stm.info/fr/horaires/arrets/54044/bus,0,,1
54045,54045,Rosemont / No 6585,45.586136,-73.555018,http://m.stm.info/fr/horaires/arrets/54045/bus,0,,1
54047,54047,Rosemont / 19e Avenue,45.558778,-73.575725,http://m.stm.info/fr/horaires/arrets/54047/bus,0,,1
54048,54048,Maurice-Duplessis / 6e Avenue,45.623839,-73.601701,http://m.stm.info/fr/horaires/arrets/54048/bus,0,,1
54049,54049,Perras / Pierre-Baillargeon,45.646902,-73.582101,http://m.stm.info/fr/horaires/arrets/54049/bus,0,,1
54050,54050,Perras / Pierre-Baillargeon,45.646465,-73.582196,http://m.stm.info/fr/horaires/arrets/54050/bus,0,,1
54051,54051,Maurice-Duplessis / No 7588,45.626366,-73.597332,http://m.stm.info/fr/horaires/arrets/54051/bus,0,,1
54052,54052,Saint-Michel / du Mont-Royal,45.548558,-73.564384,http://m.stm.info/fr/horaires/arrets/54052/bus,0,,1
54053,54053,Perras / 6e Avenue,45.631142,-73.609243,http://m.stm.info/fr/horaires/arrets/54053/bus,0,,1
54054,54054,Perras / 6e Avenue,45.631489,-73.609200,http://m.stm.info/fr/horaires/arrets/54054/bus,0,,1
54056,54056,Gouin / No 13300,45.698640,-73.509891,http://m.stm.info/fr/horaires/arrets/54056/bus,0,,1
54225,54225,Aréna Howie-Morenz,45.534531,-73.643867,http://m.stm.info/fr/horaires/arrets/54225/bus,0,,1
54059,54059,Honoré-Beaugrand / Hochelaga,45.593434,-73.525248,http://m.stm.info/fr/horaires/arrets/54059/bus,0,,1
54060,54060,Maurice-Duplessis / 54e Avenue,45.648969,-73.565225,http://m.stm.info/fr/horaires/arrets/54060/bus,0,,1
54061,54061,Maurice-Duplessis / 54e Avenue,45.648624,-73.565397,http://m.stm.info/fr/horaires/arrets/54061/bus,0,,1
54062,54062,Maurice-Duplessis / Jean-Yves-Bigras,45.647976,-73.567151,http://m.stm.info/fr/horaires/arrets/54062/bus,0,,1
54063,54063,Perras / Armand-Bombardier,45.637978,-73.597650,http://m.stm.info/fr/horaires/arrets/54063/bus,0,,1
54064,54064,Gouin / Camille,45.510456,-73.753287,http://m.stm.info/fr/horaires/arrets/54064/bus,0,,2
54066,54066,Décarie / Sherbrooke,45.474356,-73.609080,http://m.stm.info/fr/horaires/arrets/54066/bus,0,,1
54067,54067,Jean-Talon / de Nancy,45.504824,-73.642748,http://m.stm.info/fr/horaires/arrets/54067/bus,0,,1
54068,54068,Jean-Talon / de Nancy,45.503973,-73.643259,http://m.stm.info/fr/horaires/arrets/54068/bus,0,,1
54069,54069,Station Laurier Sud (Rivard / Gilford),45.526498,-73.586573,http://m.stm.info/fr/horaires/arrets/54069/bus,0,,1
54070,54070,McGill / Saint-Paul,45.500182,-73.557358,http://m.stm.info/fr/horaires/arrets/54070/bus,0,,1
54071,54071,Frontenac / Mondelet,45.530449,-73.546484,http://m.stm.info/fr/horaires/arrets/54071/bus,0,,1
54072,54072,Girouard / Notre-Dame-de-Grâce,45.475180,-73.618089,http://m.stm.info/fr/horaires/arrets/54072/bus,0,,1
54073,54073,Perras / 57e Avenue,45.655759,-73.569542,http://m.stm.info/fr/horaires/arrets/54073/bus,0,,1
54074,54074,Station Snowdon (Queen-Mary / de Westbury),45.485359,-73.627873,http://m.stm.info/fr/horaires/arrets/54074/bus,0,,1
54075,54075,Laurendeau / D'Arcy-McGee,45.452312,-73.589534,http://m.stm.info/fr/horaires/arrets/54075/bus,0,,1
54077,54077,Côte-Saint-Luc / de Terrebonne,45.479126,-73.624659,http://m.stm.info/fr/horaires/arrets/54077/bus,0,,1
54078,54078,Ridgewood / No 3280,45.494556,-73.609560,http://m.stm.info/fr/horaires/arrets/54078/bus,0,,1
54079,54079,du Mont-Royal / Jeanne-Mance,45.517287,-73.589005,http://m.stm.info/fr/horaires/arrets/54079/bus,0,,1
54080,54080,Station Radisson (Sherbrooke / du Trianon),45.589644,-73.538933,http://m.stm.info/fr/horaires/arrets/54080/bus,0,,1
54082,54082,de l'Acadie / Arthur-Lismer,45.535471,-73.668515,http://m.stm.info/fr/horaires/arrets/54082/bus,0,,1
